code,division,division_name,level,title,includes,may_include,alternate_terms,see,see_also,notes,discussion,parent_code,related_codes,chunk_text
33 05 93,33,UTILITIES,3,Common Motor Requirements for Utilities,,,,,,,,33 05 00,[],33 05 93 — Common Motor Requirements for Utilities
33 05 96,33,UTILITIES,3,Vibration and Seismic Controls for Utilities,,,,,,,,33 05 00,[],33 05 96 — Vibration and Seismic Controls for Utilities
33 05 97,33,UTILITIES,3,Identification and Signage for Utilities,,,,26 05 53 for identification requirements for electrical systems in a facility.,,,,33 05 00,['26 05 53'],33 05 97 — Identification and Signage for Utilities
33 05 97.13,33,UTILITIES,4,Signage for Utilities,,,,,,,,33 05 97,[],33 05 97.13 — Signage for Utilities
33 05 97.16,33,UTILITIES,4,Markers for Utility Identification,,,,,,,,33 05 97,[],33 05 97.16 — Markers for Utility Identification
33 05 97.23,33,UTILITIES,4,Underground Utility Warning Tape,,,,,,,,33 05 97,[],33 05 97.23 — Underground Utility Warning Tape
33 05 97.33,33,UTILITIES,4,Utility Identification Flags,,,,,,,,33 05 97,[],33 05 97.33 — Utility Identification Flags
33 06 00,33,UTILITIES,2,Schedules for Utilities,schedules of items common to multiple titles in Division 33.,,,,,"a schedule may be included on drawings, in the project manual, or a project book.",,33 00 00,[],"33 06 00 — Schedules for Utilities Includes: schedules of items common to multiple titles in Division 33. Note: a schedule may be included on drawings, in the project manual, or a project book."
33 06 05,33,UTILITIES,3,Schedules for Utility Piping,,,,,,,,33 06 00,[],33 06 05 — Schedules for Utility Piping
33 06 10,33,UTILITIES,3,Schedules for Water Utilities,,,,,,,,33 06 00,[],33 06 10 — Schedules for Water Utilities
33 06 30,33,UTILITIES,3,Schedules for Sanitary Sewerage Utilities,,,,,,,,33 06 00,[],33 06 30 — Schedules for Sanitary Sewerage Utilities
33 06 40,33,UTILITIES,3,Schedules for Stormwater Utilities,,,,,,,,33 06 00,[],33 06 40 — Schedules for Stormwater Utilities
33 06 40.13,33,UTILITIES,4,Stormwater Drainage System Schedules,,,,,,,,33 06 40,[],33 06 40.13 — Stormwater Drainage System Schedules
33 06 50,33,UTILITIES,3,Schedules for Hydrocarbon Utilities,,,,,,,,33 06 00,[],33 06 50 — Schedules for Hydrocarbon Utilities
33 06 60,33,UTILITIES,3,Schedules for Hydronic and Steam Energy Utilities,,,,,,,,33 06 00,[],33 06 60 — Schedules for Hydronic and Steam Energy Utilities
33 06 70,33,UTILITIES,3,Schedules for Electrical Utilities,,,,,,,,33 06 00,[],33 06 70 — Schedules for Electrical Utilities
33 06 80,33,UTILITIES,3,Schedules for Communications Utilities,,,,,,,,33 06 00,[],33 06 80 — Schedules for Communications Utilities
33 08 00,33,UTILITIES,2,Commissioning of Utilities,commissioning of items common to multiple titles in Division 33.,,,01 91 00 for commissioning of subjects common to multiple Divisions.,,,,33 00 00,['01 91 00'],33 08 00 — Commissioning of Utilities Includes: commissioning of items common to multiple titles in Division 33.
33 08 10,33,UTILITIES,3,Commissioning of Water Utilities,,,,,,,,33 08 00,[],33 08 10 — Commissioning of Water Utilities
33 08 30,33,UTILITIES,3,Commissioning of Sanitary Sewerage Utilities,,,,,,,,33 08 00,[],33 08 30 — Commissioning of Sanitary Sewerage Utilities
33 08 40,33,UTILITIES,3,Commissioning of Stormwater Utilities,,,,,,,,33 08 00,[],33 08 40 — Commissioning of Stormwater Utilities
33 08 50,33,UTILITIES,3,Commissioning of Hydrocarbon Utilities,,,,,,,,33 08 00,[],33 08 50 — Commissioning of Hydrocarbon Utilities
33 08 60,33,UTILITIES,3,Commissioning of Hydronic and Steam Energy Utilities,,,,,,,,33 08 00,[],33 08 60 — Commissioning of Hydronic and Steam Energy Utilities
33 08 70,33,UTILITIES,3,Commissioning of Electrical Utilities,,,,,,,,33 08 00,[],33 08 70 — Commissioning of Electrical Utilities
33 08 80,33,UTILITIES,3,Commissioning of Communications Utilities,,,,,,,,33 08 00,[],33 08 80 — Commissioning of Communications Utilities
33 09 00,33,UTILITIES,2,Instrumentation and Control for Utilities,instrumentation and control common to multiple titles in Division 33.,,,13 50 00 for special instrumentation. 21 09 00 for instrumentation and control for fire-suppression systems. 22 09 00 for instrumentation and control for plumbing. 23 09 00 for instrumentation and control for HVAC. 26 09 00 for instrumentation and control for electrical systems. 33 19 00 for water utility metering equipment. 33 59 00 for hydrocarbon utility metering equipment. 40 60 00 and 40 70 00 for instrumentation and control for process systems. 48 09 00 for instrumentation and control for electrical power generation.,,"radio frequency (RF) communications between RF-capable meter registers and data collection/repeater units can employ various communication technologies, including narrow band (single, fixed radio frequency), spread spectrum, direct-sequence spread spectrum, frequency-hopping spread spectrum, cellular phone data networks, Bluetooth, ZigBee, Wavenis, and other wireless RF communication technologies.",,33 00 00,"['13 50 00', '21 09 00', '22 09 00', '23 09 00', '26 09 00', '33 19 00', '33 59 00', '40 60 00', '40 70 00', '48 09 00']","33 09 00 — Instrumentation and Control for Utilities Includes: instrumentation and control common to multiple titles in Division 33. Note: radio frequency (RF) communications between RF-capable meter registers and data collection/repeater units can employ various communication technologies, including narrow band (single, fixed radio frequency), spread spectrum, direct-sequence spread spectrum, frequency-hopping spread spectrum, cellular phone data networks, Bluetooth, ZigBee, Wavenis, and other wireless RF communication technologies."
